,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,mean,count,count,count,count,count,count,count,count,count,count,count
,random_r,random_r1,random_r2,sr1u,sro,ur2o,zmrr,zmscore,zrandom_mrr,zrandom_rank,zrank,random_r,random_r1,random_r2,sr1u,sro,ur2o,zmrr,zmscore,zrandom_mrr,zrandom_rank,zrank
iteration,,,,,,,,,,,,,,,,,,,,,,
0,5.333215624999999,5.345733333333334,3.9370729166666654,5.377629166666668,5.333215624999999,5.201222916666667,1.0,1,1.0,1.0,1.0,96,96,96,96,96,96,96,96,96,96,96
1,5.302856249999999,5.271826041666666,3.927955208333333,5.273646875000002,5.258101041666666,5.097741666666669,0.40497796939404407,1,0.9576388888888889,1.1666666666666667,99.63020833333333,96,96,96,96,96,96,96,96,96,96,96
2,5.2778729166666665,5.216001041666667,3.9205395833333334,5.200114583333335,5.206106249999999,5.024776041666668,0.2400361240378839,1,0.8917748917748919,2.2083333333333335,426.21875,96,96,96,96,96,96,96,96,96,96,96
3,5.255559375,5.168494791666666,3.9139343749999997,5.139969791666666,5.164139583333335,4.965180208333336,0.18772444353097203,1,0.7990590128609987,4.260416666666667,846.5,96,96,96,96,96,96,96,96,96,96,96
4,5.235038541666667,5.126126041666667,3.9078552083333347,5.087792708333333,5.128141666666667,4.913544791666664,0.15176197265408936,1,0.698694445335811,8.239583333333334,1208.0,96,96,96,96,96,96,96,96,96,96,96
5,5.215821875,5.087363541666665,3.9021572916666663,5.041047916666666,5.09623958333333,4.867300000000002,0.1250046245699101,1,0.6298725983367994,14.552083333333334,1427.1770833333333,96,96,96,96,96,96,96,96,96,96,96
6,5.197689583333333,5.051323958333334,3.896755208333332,4.998294791666667,5.067390625,4.82505625,0.12117998900399808,1,0.5663667941913193,23.723958333333332,1536.6458333333333,96,96,96,96,96,96,96,96,96,96,96
7,5.180455208333334,5.017444791666665,3.891599999999998,4.958615625,5.040918749999999,4.78586875,0.11968386167569027,1,0.5083898650202782,37.083333333333336,1591.125,96,96,96,96,96,96,96,96,96,96,96
8,5.163997916666666,4.985332291666666,3.8866614583333328,4.9214083333333365,5.016398958333332,4.749153124999999,0.11360767297295847,1,0.4763483597097378,55.703125,1622.1302083333333,96,96,96,96,96,96,96,96,96,96,96
9,5.148214583333334,4.9547093749999975,3.8818906249999974,4.886223958333335,4.993496874999997,4.714471874999999,0.10162720286137394,1,0.46287657681068656,80.078125,1644.2604166666667,96,96,96,96,96,96,96,96,96,96,96
10,5.133040625,4.925350000000001,3.877291666666666,4.8527635416666675,4.971980208333335,4.68149895833333,0.10052612247947906,1,0.43626122218956126,112.08333333333333,1662.375,96,96,96,96,96,96,96,96,96,96,96
11,5.118412499999999,4.8970906250000015,3.8728468749999982,4.820752083333333,4.951666666666669,4.649997916666666,0.09998950591935256,1,0.41193195572835295,148.92708333333334,1678.5625,96,96,96,96,96,96,96,96,96,96,96
12,5.104289583333335,4.8698000000000015,3.8685145833333343,4.790016666666664,4.932420833333333,4.619757291666665,0.0992245965924363,1,0.3935863020357353,190.66666666666666,1693.59375,96,96,96,96,96,96,96,96,96,96,96
13,5.090629166666667,4.843374999999999,3.864308333333334,4.760385416666665,4.914105208333333,4.590637499999999,0.0990407784179083,1,0.37639390229278497,232.05208333333334,1707.2916666666667,96,96,96,96,96,96,96,96,96,96,96
14,5.077397916666666,4.817697916666667,3.8602135416666683,4.731734375000001,4.896651041666666,4.562503124999999,0.09339255370344357,1,0.3606843878134017,269.96875,1719.6354166666667,96,96,96,96,96,96,96,96,96,96,96
15,5.0645677083333345,4.792715625000002,3.8562104166666664,4.703948958333335,4.879953124999998,4.535242708333335,0.07859771694415675,1,0.3322940360162169,303.4166666666667,1730.8020833333333,96,96,96,96,96,96,96,96,96,96,96
16,5.052107291666666,4.768344791666666,3.852310416666667,4.676945833333334,4.863954166666667,4.50876875,0.07799980084569913,1,0.32643574499675715,332.859375,1741.3333333333333,96,96,96,96,96,96,96,96,96,96,96
17,5.0400052083333335,4.744544791666667,3.8484979166666666,4.650634374999999,4.848594791666666,4.483006250000002,0.07652256791273283,1,0.31520603292367383,355.4791666666667,1750.5520833333333,96,96,96,96,96,96,96,96,96,96,96
18,5.028244791666666,4.721258333333334,3.844760416666666,4.624942708333332,4.833830208333336,4.457888541666667,0.07493973896893093,1,0.29916426224800835,374.3541666666667,1758.953125,96,96,96,96,96,96,96,96,96,96,96
19,5.016802083333332,4.698443749999998,3.841105208333334,4.599820833333335,4.819616666666666,4.433335416666666,0.07909182331832922,1,0.28071772807636225,389.9375,1766.5416666666667,96,96,96,96,96,96,96,96,96,96,96
